# Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s),E0,E1,E2,E3,W1 (rad/s),W2 (rad/s),W3 (rad/s)
0.000000,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,-0.000000,0.000000,0.000000,0.000000,0.000000
0.001410,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.002819,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.005639,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.008458,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.011277,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.039471,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.040859,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.042247,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.045022,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.047797,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.050573,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.051539,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.052505,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.054438,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.056370,0.000000,0.000000,78.898897,0.000000,0.000000,0.000000,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.058303,0.000000,0.000000,78.898899,0.000000,0.000164,0.001878,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.060675,0.000000,0.000002,78.898915,0.000000,0.001051,0.012013,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.063046,0.000000,0.000006,78.898969,0.000000,0.002904,0.033198,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.065418,0.000000,0.000017,78.899086,0.000000,0.005725,0.065436,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.089138,0.000000,0.000917,78.909379,0.000000,0.087130,0.995903,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.091975,0.000000,0.001187,78.912468,0.000000,0.103351,1.181302,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.094813,0.000000,0.001506,78.916113,0.000000,0.121405,1.387660,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.097651,0.000000,0.001880,78.920380,0.000000,0.141745,1.620147,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.100461,0.000000,0.002309,78.925289,0.000000,0.163968,1.874160,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.102435,0.000000,0.002649,78.929174,0.000000,0.180289,2.060707,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.104409,0.000000,0.003021,78.933427,0.000000,0.196682,2.248086,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.106384,0.000000,0.003426,78.938051,0.000000,0.213148,2.436297,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.110332,0.000000,0.004333,78.948418,0.000000,0.246299,2.815216,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.114281,0.000000,0.005371,78.960288,0.000000,0.279742,3.197464,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.118230,0.000000,0.006542,78.973674,0.000000,0.313476,3.583044,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.122178,0.000000,0.007847,78.988589,0.000000,0.347501,3.971956,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.128221,0.000000,0.010106,79.014406,0.000000,0.400132,4.573530,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.134263,0.000000,0.012685,79.043882,0.000000,0.453446,5.182915,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.140305,0.000000,0.015588,79.077064,0.000000,0.507444,5.800113,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.152390,0.000000,0.022378,79.154679,0.000000,0.616833,7.050438,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.154027,0.000000,0.023400,79.166364,0.000000,0.631670,7.220021,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.155665,0.000000,0.024447,79.178326,0.000000,0.646410,7.388502,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.157303,0.000000,0.025518,79.190563,0.000000,0.661054,7.555878,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.160578,0.000000,0.027730,79.215856,0.000000,0.690051,7.887322,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.163854,0.000000,0.030038,79.242227,0.000000,0.718662,8.214349,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.167129,0.000000,0.032438,79.269662,0.000000,0.746887,8.536960,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.170404,0.000000,0.034930,79.298146,0.000000,0.774725,8.855152,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.194684,0.000000,0.056098,79.540104,0.000000,0.969011,11.075846,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.202584,0.000000,0.063987,79.630267,0.000000,1.028033,11.750467,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.208292,0.000000,0.069975,79.698714,0.000000,1.070192,12.232354,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.214000,0.000000,0.076204,79.769914,0.000000,1.112438,12.715228,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.219708,0.000000,0.082675,79.843873,0.000000,1.154771,13.199092,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.231124,0.000000,0.096342,80.000089,0.000000,1.239695,14.169784,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.242540,0.000000,0.110981,80.167410,0.000000,1.324966,15.144430,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.253956,0.000000,0.126595,80.345880,0.000000,1.410583,16.123033,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.265372,0.000000,0.143188,80.535544,0.000000,1.496545,17.105593,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.363355,0.000000,0.326462,82.630379,0.000000,2.248614,25.701778,0.999048,-0.043619,0.000000,0.000000,0.000000,0.000000,0.000000
0.367454,0.000001,0.335826,82.737229,0.000231,2.284325,26.067693,0.999048,-0.043619,-0.000000,0.000000,0.000110,-0.000145,0.000000
0.371553,0.000003,0.345336,82.845581,0.000465,2.320082,26.434119,0.999048,-0.043619,-0.000001,0.000000,0.000221,-0.000291,0.000000
0.379751,0.000009,0.364649,83.065294,0.000937,2.391687,27.167993,0.999048,-0.043617,-0.000003,0.000000,0.000444,-0.000589,0.000000
0.387949,0.000018,0.384550,83.291031,0.001417,2.463474,27.903911,0.999048,-0.043615,-0.000006,0.000000,0.000672,-0.000893,0.000000
0.396147,0.000032,0.405040,83.522809,0.001903,2.535441,28.641874,0.999049,-0.043612,-0.000010,0.000000,0.000902,-0.001205,0.000000
0.478126,0.000378,0.642655,86.176476,0.006544,3.264606,36.134017,0.999052,-0.043526,-0.000128,0.000006,0.003362,-0.004706,0.000000
0.528306,0.000758,0.817828,88.106754,0.008443,3.717991,40.810801,0.999057,-0.043421,-0.000277,0.000012,0.004958,-0.007163,0.000000
0.578486,0.001196,1.015824,90.272868,0.008767,4.173789,45.529761,0.999063,-0.043277,-0.000489,0.000021,0.006564,-0.009810,0.000000
0.628667,0.001594,1.236721,92.676614,0.006714,4.630536,50.280156,0.999071,-0.043093,-0.000770,0.000034,0.008122,-0.012590,0.000000
0.678847,0.001811,1.480552,95.319554,0.001405,5.087821,55.063420,0.999080,-0.042871,-0.001121,0.000049,0.009567,-0.015427,0.000000
0.757542,0.001314,1.909151,99.950031,-0.015735,5.804783,62.630638,0.999097,-0.042457,-0.001812,0.000079,0.011419,-0.019746,0.000000
0.836238,-0.001062,2.394111,105.179159,-0.046898,6.519905,70.277609,0.999115,-0.041984,-0.002664,0.000116,0.012487,-0.023491,0.000000
0.914934,-0.006560,2.935228,111.013181,-0.095637,7.231790,78.003534,0.999132,-0.041491,-0.003642,0.000158,0.012440,-0.026078,0.000000
0.979652,-0.014469,3.422117,116.268620,-0.151008,7.814312,84.415717,0.999145,-0.041103,-0.004501,0.000196,0.011353,-0.026884,0.000000
1.029104,-0.023195,3.819507,120.564888,-0.203300,8.257104,89.342904,0.999152,-0.040841,-0.005162,0.000224,0.009803,-0.026455,0.000000
1.078556,-0.034720,4.238721,125.105009,-0.264213,8.696713,94.274920,0.999158,-0.040624,-0.005799,0.000251,0.007610,-0.024975,0.000000
1.128008,-0.049463,4.679596,129.888993,-0.333418,9.133137,99.204295,0.999160,-0.040469,-0.006386,0.000276,0.004798,-0.022353,0.000000
1.177460,-0.067820,5.141992,134.916694,-0.410271,9.567275,104.131666,0.999160,-0.040391,-0.006894,0.000297,0.001439,-0.018560,0.000000
1.199831,-0.077413,5.358215,137.271168,-0.447276,9.763195,106.359936,0.999159,-0.040384,-0.007089,0.000305,-0.000227,-0.016470,0.000000
1.222202,-0.087846,5.578819,139.675485,-0.485500,9.958966,108.587666,0.999157,-0.040396,-0.007261,0.000312,-0.001962,-0.014162,0.000000
1.244573,-0.099147,5.803803,142.129632,-0.524796,10.154707,110.814815,0.999155,-0.040428,-0.007405,0.000317,-0.003747,-0.011653,0.000000
1.297956,-0.129727,6.358368,148.187024,-0.621951,10.622346,116.126722,0.999147,-0.040585,-0.007630,0.000325,-0.008086,-0.004984,0.000000
1.351339,-0.165577,6.937951,154.527871,-0.721640,11.092285,121.434538,0.999136,-0.040857,-0.007667,0.000325,-0.012241,0.002303,0.000000
1.404721,-0.206750,7.542722,161.151942,-0.820932,11.566255,126.737738,0.999121,-0.041232,-0.007508,0.000315,-0.015827,0.009662,0.000000
1.458104,-0.253143,8.172937,168.058978,-0.916683,12.045868,132.035801,0.999105,-0.041691,-0.007159,0.000297,-0.018433,0.016426,0.000000
1.497066,-0.290153,8.649159,173.278612,-0.982566,12.400232,135.899105,0.999092,-0.042061,-0.006798,0.000280,-0.019500,0.020568,0.000000
